Codigo;Prompt
jhonw_e;Produce a stunning, text-free theatrical poster mirroring the bold, symbolic style of John Wick: Chapter 3 – Parabellum key art, set in the vast Moroccan desert at golden hour with endless sand dunes under a scorching sun creating a halo-like backlight, evoking religious iconography and inevitable fate. Subtle skull motifs formed by wind-eroded rocks in the distance. At the center in a symmetrical, saint-like pose with arms slightly outstretched, Keanu Reeves as John Wick stands tall, his silhouette rim-lit, face shadowed with battle scars, long hair, wearing a dusty black suit, rolled sleeves, dual pistols, and a katana. Positioned back-to-back with a companion character identical to the photo, dressed in desert tactical gear, keffiyeh scarf, armed with rifle and blade, flanked by Belgian Malinois. Around them, armored bounty hunters on horseback and vehicles approach, gold coins in the sand, highlighting a $14 million bounty. The hyper-realistic digital art should use intricate details, golden hour lighting, deep shadows, and a metallic color palette with 8K resolution, focused on themes of war, exile, and alliances in a violent world—all without text or credits.
jhonw_f;Create a highly cinematic, textless theatrical release poster in the iconic style of John Wick Chapter 4, featuring a dramatic vertical composition against the endless rain-soaked stone stairs leading up to the illuminated Sacré-Cœur Basilica in Paris at night, with stormy clouds swirling overhead and the faint glow of the Eiffel Tower in the distant misty background. At the center, Keanu Reeves as John Wick stands in a powerful three-quarter pose slightly low on the stairs, looking upward with intense determination, long black hair wet and disheveled, face marked with blood and bruises, wearing his signature torn black bulletproof suit with white shirt underneath stained red, holding a smoking customized pistol in one hand pointed downward and a katana gripped firmly in the other, his coat billowing dramatically in the wind. Standing protectively beside him, shoulder-to-shoulder in equal prominence, is the companion character from the uploaded photo—depict this character with precise facial likeness, intense expression, athletic build, and distinctive features exactly as in the image, dressed in a sleek black tactical outfit with armored elements, holding dual handguns crossed in front, stance wide and ready for battle. Behind them, dozens of shadowy High Table assassins swarm up the stairs in blurred motion, creating a sense of overwhelming threat and epic scale, with muzzle flashes and falling bodies adding dynamic energy. Use hyper-realistic rendering, high-contrast dramatic lighting with rim lights outlining the protagonists against the dark stormy sky, a desaturated color palette dominated by deep blacks, cool blues, and subtle crimson accents from blood, ultra-sharp 8K detail on textures of wet stone, fabric, and weapons, moody cinematic atmosphere evoking unstoppable vengeance and mythic heroism, no text or logos anywhere.
jhonw_g;It creates a serene and introspective image, reminiscent of a movie poster, with the understated visual tone of John Wick: Chapter 4, set on a quiet Parisian rooftop at dawn. Soft, golden sunlight filters through the clouds, casting long, gentle shadows across the gravel and ventilation grates. The iconic silhouettes of the Eiffel Tower and Sacré-Cœur are faintly visible on the hazy horizon, while mist on the metal railings reflects the pale sky. At the center, standing side by side, leaning against the ledge in a moment of serene alliance, is Keanu Reeves as John Wick, his long hair flowing freely. His face shows subtle fatigue and scars, and he wears a simple black shirt and dark trousers, his arms crossed as he gazes thoughtfully outside, listening. Beside him, engaged in a quiet conversation with a measured and understanding expression, is the man from the uploaded photo. Depicted with facial precision, including defined features and a direct gaze, wearing a dark coat over a tactical sweater, one hand in his pocket and the other holding an unlit cigarette, conveying confidence and shared determination. The scene radiates an unusual tranquility and mutual understanding, devoid of weapons or action, just a subtle steam rising from a coffee cup on the mantelpiece. It utilizes hyperrealistic rendering with soft, diffused morning light that creates a warm edge lighting on his profiles, a muted palette of cool grays blending with soft oranges and golds, ultra-detailed 8K textures on skin, beard hairs, fabric folds, and a distant cityscape, evoking themes of brief respite and brotherhood forged amidst vengeance, completely devoid of text, titles, or logos.
jhonw_h;"Create a dramatic, textless theatrical release poster in the exact style of John Wick: Chapter 3 – Parabellum official posters, featuring a moody vertical composition set against heavy pouring rain in New York City at night, with blurred neon lights reflecting off wet pavement and the glowing facade of the Continental Hotel visible through a glass door in the background, rain streaks distorting the view like tears on a window. Centrally positioned in a powerful, solitary three-quarter pose looking directly at the viewer with intense, weary eyes, Keanu Reeves as John Wick stands just outside the door, water dripping from his long disheveled hair and bloodied face, wearing a soaked black suit with torn shirt revealing bullet wounds, holding a pistol lowered at his side in one hand and gripping a briefcase in the other, his coat open and flapping slightly in the wind. Standing resolutely beside him in equal heroic prominence, emerging from the shadows as a loyal ally in exile, is the companion character from the uploaded photo—depict with precise facial likeness, determined expression, athletic build, and exact distinctive features from the image, dressed in dark tactical attire with rain-soaked elements, armed with a suppressed submachine gun held ready and a knife sheathed at the belt. Subtle background details include faint reversed reflections of ""Excomunicado"" and Continental signage on the glass, shadowy figures of approaching assassins in the distance, and scattered gold coins on the ground symbolizing broken rules. Use hyper-realistic photorealism with high-contrast dramatic lighting from street lamps and neon blues/violets dominating the palette, desaturated tones with accents of crimson blood, ultra-sharp 8K details on water droplets, fabric textures, and metallic weapons, evoking themes of isolation, betrayal, and unrelenting defiance in the assassin's underworld, completely free of any text, titles, or logos."
sup_b;Ultra realistic live action film still of a person wearing a purple tactical archer suit inspired by Hawkeye, no helmet, exposed human face exactly matching the reference photo, identical facial structure and proportions, holding a modern bow firmly in one hand, quiver full of arrows visible on the back, muscular arms tense, alert focused expression, looking off screen as if tracking a target, grounded urban battlefield environment with damaged buildings and smoke, muted cinematic color grading, natural daylight with soft shadows, realistic fabric textures and wear, handheld camera feel, no stylization, no cartoon look, no face alteration, identity locked, unisex appearance.
sup_a;Ultra realistic live action film still of a person taking a casual photo with a massive green muscular hero resembling the Hulk, both standing side by side and flexing biceps toward the camera, strong confident poses, the person with exposed human face exactly matching the reference photo, identical facial structure and proportions, natural smile and playful expression, the green muscular hero towering and flexing with visible muscle tension, grounded urban environment with subtle damage and debris, natural daylight, realistic skin texture and muscle definition, muted cinematic colors, handheld camera feel, no cartoon look, no stylization, no face alteration, identity locked, unisex appearance
sup_g;Ultra realistic live action film still of a superhero team scene, the person positioned at the center wearing a Captain America style tactical suit, no helmet, exposed human face exactly matching the reference photo, identical facial structure and proportions, holding a round shield in a grounded defensive stance, knees slightly bent, body leaning forward with weight and tension, serious focused expression, behind the person other heroes appear naturally integrated into the environment: a red and gold armored hero hovering slightly above the ground with subtle propulsion, a female spy hero crouched low in a practical combat pose, a large green muscular hero standing heavy and still, and a hammer wielding hero calling lightning from dark storm clouds in the distance, overcast battlefield environment, dust, debris and smoke in the air, muted colors, natural contrast, realistic shadows, handheld camera feel, cinematic wide shot, no stylization, no cartoon look, no face alteration, identity locked, unisex appearance
sup_c;Ultra realistic live action film still of a person flying at high speed wearing a red and gold mechanical flight suit with no helmet, wearing modern protective glasses, exposed human face exactly matching the reference photo, identical facial structure and proportions, happy smiling expression with visible adrenaline, dynamic diagonal flight pose crossing the frame, arms pulled back tight along the body, aerodynamic posture, camera positioned slightly above and to the side, three quarter side view, not frontal, flying between tall city buildings, strong sense of speed, motion blur on buildings and background only, propulsion flames mainly from the soles of the feet illuminating the armor and subtly reflecting on the face, physically accurate lighting and reflections, no portrait framing, no hero pose, no face cutout, no actor likeness, identity locked, unisex appearance
sup_d;Realistic cinematic film still of a person wearing a practical red and gold mechanical exoskeleton with no helmet, exposed human face, holding a metal gauntlet with embedded stones producing unstable electrical discharges, small lightning arcs and sparks contained around the gauntlet, intense localized light reflecting naturally on the face and armor, the person shouting with intense emotion while looking at the gauntlet, sweat and dirt on the skin, smoky damaged industrial environment, grounded colors, practical visual effects look, live action realism, exact facial identity from the reference photo, no face alteration.
sup_f;"A highly realistic cinematic portrait of a person wearing a red and blue spider-themed superhero suit, crouched in an iconic low rooftop pose, one hand on the wet ground and one knee raised, body turned in a dynamic three quarter angle; captured from a low tilted camera angle creating strong visual tension, nighttime city rooftop environment during heavy rain, the person completely soaked, wet hair sticking to the forehead and face, strands hitting the eyes, water droplets running down the face and dripping from the chin, visible rain streaks and splashes frozen in motion, wet fabric darkened by rain with realistic texture, dramatic backlight illuminating rain and silhouette, cool blue tones with subtle warm city lights, shallow depth of field with city lights bokeh in the background, ultra-realistic live action film still look, realistic anatomy and proportions, the face must remain exactly the same as the reference photo, no face replacement or actor likeness"
sup_e;Ultra realistic cinematic portrait of a person wearing a classic yellow and blue Wolverine style suit, arms crossed, leaning casually against a damaged car in a relaxed confident pose, same stance and body language as the reference image, fully exposed human face with no mask, exact facial identity from the reference photo, same facial features and proportions, identity locked, beside them a red and black masked mercenary with twin swords on his back leaning playfully against the same car, humorous contrast in posture, captured from a slightly low angle three quarter perspective with a subtle diagonal camera tilt, vast desert environment with sand dunes and rocky terrain in the background, harsh natural sunlight with cinematic contrast, heat haze in the distance, realistic fabric textures and worn details on both suits, sharp focus, live action movie still look, no face alteration, no actor likeness
magic_a;Ultra-realistic 8K cinematic fantasy poster of a dark sorcerer emerging halfway through a torn King of Spades playing card, as if ripping reality apart. The card is split diagonally, edges glowing with dark energy. The sorcerer steps forward with one foot visible, long maroon-and-gold embroidered royal coat flowing in motion. One hand clenched with crackling magic, the other slightly raised near his chest. Calm but deadly expression, piercing eyes locked forward. Stone shards, dust, and magical particles suspended mid-air. Lighting is dramatic and moody with strong rim light and deep shadows, dark mystical background. High contrast, cinematic depth of field, ultra-detailed textures, epic fantasy realism. Face must be 100% identical to the reference photo, natural skin texture, no stylization, masterpiece-quality movie poster look.Do not add any text.
magic_b;Hyperrealistic 8K fantasy movie poster. Low-angle shot of a sorcerer emerging from a torn King of Spades playing card. He gazes down with commanding serenity, surrounded by an aura of dark magic. Both hands are partially raised, forming energy. Royal coat embroidered in garnet and gold, with fragments of stone frozen in mid-air. Cinematic lighting, epic scale, photorealistic face (100% identical to the reference). Do not add any text.
magic_c;A hyper-realistic cinematic poster of a powerful male sorcerer bursting through a cracked King of Spades playing card. Stone fragments and debris frozen mid-air as the card shatters outward. The man wears an ornate royal maroon-and-gold embroidered jacket with medieval fantasy detailing. He extends one hand forward, fingers glowing with unseen magical force, intense piercing gaze locked on the viewer. Dramatic chiaroscuro lighting, dark moody background, ultra-detailed textures, cinematic depth of field, sharp focus, photorealistic face, epic fantasy realism, 8K resolution, movie poster composition, high contrast, dust particles, dynamic motion, dark magic aura, masterpiece quality.Do not add any text.
magic_d;Ultra-realistic cinematic close-up poster of a sorcerer tearing through a broken King of Spades card. Card fragments frame his face. One glowing hand near the camera, fingers charged with magic. Intense eye contact, dark mystical aura. Rich maroon-gold fantasy jacket, high contrast lighting, shallow depth of field, 8K photorealism, face exactly matching reference.
magic_e;Ultra-realistic cinematic fantasy poster, side-angle view of a sorcerer exploding through a cracked King of Spades card. Body twisted in motion, one hand casting magic sideways, glowing fingers. Ornate maroon-gold jacket, medieval detailing. Flying debris, dust particles, dramatic chiaroscuro lighting. Dark fantasy mood, sharp focus, 8K photorealism, face 100% identical to reference.Do not add any text.
